Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 25, End: 152, Duration: 127, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 25, End: 152, Duration: 127, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 412, End: 539, Duration: 127, Channel: 0
Number: 83, Name: B, Octave: 5, Note: B5, Start: 412, End: 539, Duration: 127, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 799, End: 1166, Duration: 367, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 799, End: 1166, Duration: 367, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 1186, End: 1369, Duration: 183, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 1380, End: 1517, Duration: 137, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 1525, End: 2306, Duration: 781, Channel: 0
Number: 86, Name: D, Octave: 6, Note: D6, Start: 1573, End: 2308, Duration: 735, Channel: 0
Number: 77, Name: F, Octave: 5, Note: F5, Start: 2348, End: 2715, Duration: 367, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 2348, End: 2715, Duration: 367, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 2735, End: 3040, Duration: 305, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 3057, End: 3485, Duration: 428, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 3090, End: 3487, Duration: 397, Channel: 0
Number: 83, Name: B, Octave: 5, Note: B5, Start: 3122, End: 3489, Duration: 367, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 3509, End: 3692, Duration: 183, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 3702, End: 3840, Duration: 138, Channel: 0
Number: 68, Name: G#, Octave: 4, Note: G#4, Start: 3848, End: 4077, Duration: 229, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 3896, End: 4079, Duration: 183, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 3896, End: 4079, Duration: 183, Channel: 0
Number: 77, Name: F, Octave: 5, Note: F5, Start: 4090, End: 4273, Duration: 183, Channel: 0
Number: 65, Name: F, Octave: 4, Note: F4, Start: 4283, End: 4466, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 4283, End: 4466, Duration: 183, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 4477, End: 4660, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 4670, End: 4945, Duration: 275, Channel: 0
Number: 65, Name: F, Octave: 4, Note: F4, Start: 4960, End: 5052, Duration: 92, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 5057, End: 5148, Duration: 91, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 5154, End: 5245, Duration: 91, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 5251, End: 5342, Duration: 91, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 5348, End: 5439, Duration: 91, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 5444, End: 5535, Duration: 91, Channel: 0
Number: 90, Name: F#, Octave: 6, Note: F#6, Start: 5541, End: 5632, Duration: 91, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 5638, End: 5729, Duration: 91, Channel: 0
Number: 81, Name: A, Octave: 5, Note: A5, Start: 5735, End: 5826, Duration: 91, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 5831, End: 5923, Duration: 92, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 5928, End: 6019, Duration: 91, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 6025, End: 6208, Duration: 183, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 6219, End: 6345, Duration: 126, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 6219, End: 6345, Duration: 126, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 6606, End: 6700, Duration: 94, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 6606, End: 6700, Duration: 94, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 6896, End: 7171, Duration: 275, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 6944, End: 7173, Duration: 229, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 6993, End: 7176, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 7186, End: 7369, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 7380, End: 7701, Duration: 321, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 7719, End: 8453, Duration: 734, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 7767, End: 8456, Duration: 689, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 8493, End: 8906, Duration: 413, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 8541, End: 8908, Duration: 367, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 8928, End: 9203, Duration: 275, Channel: 0
Number: 62, Name: D, Octave: 4, Note: D4, Start: 9219, End: 9494, Duration: 275, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 9267, End: 9496, Duration: 229, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 9315, End: 9498, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 9509, End: 9692, Duration: 183, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 9702, End: 9765, Duration: 63, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 9702, End: 9765, Duration: 63, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 9896, End: 9959, Duration: 63, Channel: 0
Number: 68, Name: G#, Octave: 4, Note: G#4, Start: 9896, End: 9959, Duration: 63, Channel: 0
Number: 59, Name: B, Octave: 3, Note: B3, Start: 10090, End: 10216, Duration: 126, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 10090, End: 10216, Duration: 126, Channel: 0
Number: 59, Name: B, Octave: 3, Note: B3, Start: 10477, End: 10844, Duration: 367, Channel: 0
Number: 65, Name: F, Octave: 4, Note: F4, Start: 10477, End: 10844, Duration: 367, Channel: 0
Number: 57, Name: A, Octave: 3, Note: A3, Start: 10864, End: 11231, Duration: 367, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 10864, End: 11231, Duration: 367, Channel: 0
Number: 66, Name: F#, Octave: 4, Note: F#4, Start: 10864, End: 11231, Duration: 367, Channel: 0
Number: 61, Name: C#, Octave: 4, Note: C#4, Start: 11251, End: 11342, Duration: 91, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 11348, End: 11439, Duration: 91, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 11444, End: 11535, Duration: 91, Channel: 0
Number: 68, Name: G#, Octave: 4, Note: G#4, Start: 11541, End: 11632, Duration: 91, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 11638, End: 11729, Duration: 91, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 11735, End: 11826, Duration: 91, Channel: 0
Number: 80, Name: G#, Octave: 5, Note: G#5, Start: 11831, End: 11923, Duration: 92, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 11928, End: 12019, Duration: 91, Channel: 0
Number: 97, Name: C#, Octave: 7, Note: C#7, Start: 12091, End: 12410, Duration: 319, Channel: 0
Number: 85, Name: C#, Octave: 6, Note: C#6, Start: 12025, End: 12411, Duration: 386, Channel: 0
Number: 69, Name: A, Octave: 4, Note: A4, Start: 12412, End: 12963, Duration: 551, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 12993, End: 13176, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 13186, End: 13369, Duration: 183, Channel: 0
Number: 79, Name: G, Octave: 5, Note: G5, Start: 13186, End: 13369, Duration: 183, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 13380, End: 13747, Duration: 367, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 13767, End: 13904, Duration: 137, Channel: 0
Number: 78, Name: F#, Octave: 5, Note: F#5, Start: 13912, End: 13957, Duration: 45, Channel: 0
Number: 76, Name: E, Octave: 5, Note: E5, Start: 13960, End: 14144, Duration: 184, Channel: 0
Number: 74, Name: D, Octave: 5, Note: D5, Start: 14154, End: 14337, Duration: 183, Channel: 0
Number: 73, Name: C#, Octave: 5, Note: C#5, Start: 14348, End: 14531, Duration: 183, Channel: 0
Number: 71, Name: B, Octave: 4, Note: B4, Start: 14541, End: 14724, Duration: 183, Channel: 0
