56db -108 2.5
5341 -74.5 0.5
516d -37 0.5
30bb 2.5 4
30f3 44 6.5
30c1 77.5 3
5f37 -110.5 0.5
3055 -69 2
306e -33.5 7
8c61 1 0.5
5fb4 38 0.5
306f 79 2.5
9b45 -149 0.5
305b -110.5 3
3064 -72.5 9.5
3051 -33.5 2
308b 4.5 3.5
3053 43.5 5
3068 82.5 3.5
3082 119 1
306a -184.5 1.5
3044 -147 6.5
307e -108 1.5
307e -70.5 1.5
8010 -37 0.5
3048 3 1.5
308b 42 3.5
3060 79 2
3051 116.5 2
3067 152.5 4
7a7a -112 0.5
306e -71 7
6575 -37 0.5
305f 4 2
3061 42 1.5
306f 79 2.5
300c -124.5 0.5
5de8 -105.5 0.5
5927 -74.5 0.5
306a -34.5 1.5
6a19 0.5 0.5
7684 42 1
300d 76.5 10
3068 120 3.5
6027 -112 0.5
80fd -72.5 0.5
3092 -32.5 1.5
99c6 0.5 0.5
4f7f 38 0.5
3057 82 3
5f7c -130.75 0.5
5973 -92.25 0.5
9054 -55.75 0.5
3092 -13.75 1.5
6c88 19.75 0.5
3081 59.25 3
305f 97.75 2
5e38 -93.25 0.5
8b58 -55.25 0.5
306f -14.75 2.5
3059 20.75 1
3050 65.75 1.5
5909 -130.75 0.5
308f -91.75 2
308b -51.75 3.5
3082 -12.25 1
306e 22.75 7
3060 60.25 2
306a 96.75 1.5
6211 -205.75 0.5
3089 -160.75 1.5
306f -127.25 2.5
8eab -92.75 0.5
3092 -51.25 1.5
3082 -12.25 1
3063 24.25 18.5
3066 58.75 4
77e5 94.25 0.5
3063 136.75 18.5
305f 172.75 2
7279 -149.5 0.5
653b -112.5 0.5
306e -71 7
9b41 -36.5 0.5
3068 7.5 3.5
306a 40.5 1.5
308c 77 2
3001 113.5 27
5c11 -55.75 0.5
5e74 -18.25 0.5
3088 24.75 3
5931 -168.25 0.5
6557 -130.75 0.5
304b -91.25 2
3089 -48.25 1.5
5b66 -18.25 0.5
3073 22.25 1
751f 56.75 0.5
304d 99.75 2
308d 135.75 3.5
541b -149.5 1
304c -110 2
6642 -72 0.5
4ee3 -37 0.5
3092 5 1.5
5909 38 0.5
3048 78 1.5
308b 117 3.5
60c5 -168.25 0.5
3051 -127.25 2
306a -90.75 1.5
3044 -53.25 6.5
5f8c -18.25 0.5
6094 19.25 0.5
3088 62.25 3
308a 102.75 2
3082 137.75 1
524d -73.5 0.5
3092 -32.5 1.5
898b 1 1
308d 42 3.5
547d -149 0
3042 -109 1.5
3089 -67 1.5
3070 -33.5 1
53ef 0.5 1
80fd 40 0.5
6027 75.5 0.5
306f 116.5 2.5
7121 -130.75 0.5
9650 -90.75 1
306a -53.25 1.5
306e -14.75 7
3060 22.75 2
304b 58.75 2
3089 101.75 1.5
5439 -128.75 0.5
304d -87.75 2
629c -55.75 0.5
3051 -14.75 2
308b 23.25 3.5
98a8 56.75 1
306f 97.75 2.5
3042 -127.75 1.5
306e -89.75 7
9803 -53.25 0.5
3068 -11.25 3.5
540c 22.25 1
3058 63.25 3
3060 97.75 2
6642 -128.25 0.5
306f -89.75 2.5
7d4c -55.75 0.5
3063 -13.25 18.5
305f 22.75 2
306e 60.25 7
306b 97.75 4
4eca -130.25 0
3067 -91.25 4
3082 -49.75 1
899a -18.75 0.5
3048 21.75 1.5
3066 58.75 4
308b 98.25 3.5
6d77 -93.25 0.5
5e95 -55.75 0.5
306b -14.75 4
7720 21.75 1
308b 60.75 3.5
6211 -112 0.5
3089 -67 1.5
306e -33.5 7
8a87 1 0.5
308a 46.5 2
9054 75.5 0.5
4eca -111.5 0
3067 -72.5 4
3082 -31 1
611b 0.5 0
3055 43.5 2
308c 77 2
52c7 -129.25 1
6c17 -93.25 0.5
3092 -51.25 1.5
8cb0 -18.25 0.5
3063 24.25 18.5
3066 58.75 4
308b 98.25 3.5
3069 -105 3.5
3093 -72 2.5
306a -34.5 1.5
6642 3 0.5
4ee3 38 0.5
3082 81.5 1
4eba -112 0.5
306f -71 2.5
72ec -37 0.5
308a 9 2
3058 44.5 3
3083 80 10.5
5f31 -204.25 1
3044 -165.75 6.5
30e2 -128.25 6.5
30ce -88.75 5
3060 -52.25 2
306a -15.75 1.5
3060 22.75 2
304b 58.75 2
3089 101.75 1.5
3053 137.25 5
305d 172.75 3
7279 -149.5 0.5
653b -112.5 0.5
306e -71 7
9b41 -36.5 0.5
3068 7.5 3.5
306a 40.5 1.5
308c 77 2
3001 113.5 27
5c11 -55.75 0.5
5e74 -18.25 0.5
3088 24.75 3
4eba -187 0.5
306e -146 7
30de -110 8
30cd -71.5 2.5
4e8b -37 0.5
306a 3 1.5
3069 45 3.5
305b 77 3
305a 114.5 1
306b 154 4
81ea -123.75 0.5
3089 -85.75 1.5
5207 -56.25 1
308a -9.75 2
958b 21.75 1
3051 60.25 2
3070 97.75 1
9053 -149.5 0.5
3068 -105 3.5
306a -72 1.5
308a -28.5 2
4eba 0.5 0.5
3005 42.5 6
306f 79 2.5
541b 113 1
306e -52.25 7
59ff -18.25 0.5
306b 22.75 4
7729 -147 0.5
3057 -105.5 3
3055 -69 2
3068 -30 3.5
61a7 0.5 0.5
308c 39.5 2
899a 75 0.5
3048 115.5 1.5
305d -127.25 3
3057 -86.75 3
3066 -53.75 4
4ef2 -18.25 0.5
9593 22.25 1
3078 58.25 9
3068 101.25 3.5
77e5 -93.25 0.5
8b58 -55.25 0.5
306f -14.75 2.5
4f55 19.25 1
306e 60.25 7
305f -127.25 2
3081 -90.75 3
306b -52.25 4
3042 -15.25 1.5
308b 23.25 3.5
306e 60.25 7
304b 96.25 2
81ea -142.5 0.5
3089 -104.5 1.5
306e -71 7
9f13 -37 0.5
52d5 1 0
306b 41.5 4
8a0a 76 0.5
3051 116.5 2
7279 -149.5 0.5
653b -112.5 0.5
306e -71 7
9b41 -36.5 0.5
3068 7.5 3.5
306a 40.5 1.5
308c 77 2
3001 113.5 27
5c11 -55.75 0.5
5e74 -18.25 0.5
3088 24.75 3
5931 -168.25 0.5
6557 -130.75 0.5
304b -91.25 2
3089 -48.25 1.5
5b66 -18.25 0.5
3073 22.25 1
751f 56.75 0.5
304d 99.75 2
308d 135.75 3.5
541b -149.5 1
304c -110 2
6642 -72 0.5
4ee3 -37 0.5
3092 5 1.5
5909 38 0.5
3048 78 1.5
308b 117 3.5
60c5 -168.25 0.5
3051 -127.25 2
306a -90.75 1.5
3044 -53.25 6.5
5f8c -18.25 0.5
6094 19.25 0.5
3088 62.25 3
308a 102.75 2
3082 137.75 1
524d -73.5 0.5
3092 -32.5 1.5
898b 1 1
308d 42 3.5
547d -149 0
3042 -109 1.5
3089 -67 1.5
3070 -33.5 1
53ef 0.5 1
80fd 40 0.5
6027 75.5 0.5
306f 116.5 2.5
7121 -130.75 0.5
9650 -90.75 1
306a -53.25 1.5
306e -14.75 7
3060 22.75 2
304b 58.75 2
3089 101.75 1.5
