glow/56db -110.5 0.5
glow/5341 -76.5 -2
glow/516d -39 -2
glow/30bb 0.5 2
glow/30f3 42 4.5
glow/30c1 75.5 1
glow/5f37 -112.5 -1.5
glow/3055 -71.5 -0.5
glow/306e -36 4.5
glow/8c61 -0.5 -1.5
glow/5fb4 36.5 -2
glow/306f 76.5 0.5
glow/9b45 -151 -1.5
glow/305b -113 1
glow/3064 -75 7
glow/3051 -36 -0.5
glow/308b 2.5 1
glow/3053 41.5 3
glow/3068 80.5 1.5
glow/3082 116.5 -1
glow/306a -186.5 -1
glow/3044 -149 4
glow/307e -110 -0.5
glow/307e -72.5 -0.5
glow/8010 -39 -2
glow/3048 1 -0.5
glow/308b 40 1
glow/3060 76.5 0
glow/3051 114 -0.5
glow/3067 150.5 2
glow/7a7a -114 -1.5
glow/306e -73.5 4.5
glow/6575 -39 -2
glow/305f 1.5 0
glow/3061 40 -0.5
glow/306f 76.5 0.5
glow/300c -127 -2
glow/5de8 -108 -1.5
glow/5927 -76.5 -2
glow/306a -36.5 -1
glow/6a19 -1 -2
glow/7684 39.5 -1
glow/300d 74 8
glow/3068 118 1.5
glow/6027 -114.5 -2
glow/80fd -75 -2
glow/3092 -34.5 -0.5
glow/99c6 -2 -1.5
glow/4f7f 36.5 -2
glow/3057 80 1
glow/5f7c -132.25 -2
glow/5973 -94.25 -2
glow/9054 -58.25 -2
glow/3092 -15.75 -0.5
glow/6c88 17.75 -2
glow/3081 57.25 1
glow/305f 95.25 0
glow/5e38 -95.25 -1.5
glow/8b58 -57.25 -2
glow/306f -17.25 0.5
glow/3059 18.75 -1
glow/3050 63.25 -0.5
glow/5909 -132.75 -1.5
glow/308f -94.25 0
glow/308b -53.75 1
glow/3082 -14.75 -1
glow/306e 20.25 4.5
glow/3060 57.75 0
glow/306a 94.75 -1
glow/6211 -207.75 -2
glow/3089 -163.25 -0.5
glow/306f -129.75 0.5
glow/8eab -94.75 -2
glow/3092 -53.25 -0.5
glow/3082 -14.75 -1
glow/3063 22.25 16
glow/3066 56.75 2
glow/77e5 92.25 -2
glow/3063 134.75 16
glow/305f 170.25 0
glow/7279 -151 -2
glow/653b -114.5 -2
glow/306e -73.5 4.5
glow/9b41 -38.5 -1.5
glow/3068 5.5 1.5
glow/306a 38.5 -1
glow/308c 74.5 0
glow/3001 111.5 24.5
glow/5c11 -57.25 -2
glow/5e74 -20.25 -2
glow/3088 22.75 0.5
glow/5931 -169.75 -2
glow/6557 -132.25 -2
glow/304b -93.75 0
glow/3089 -50.75 -0.5
glow/5b66 -20.75 -1
glow/3073 19.75 -1
glow/751f 54.75 -2
glow/304d 97.25 -0.5
glow/308d 133.75 1
glow/541b -151.5 -1
glow/304c -112.5 0
glow/6642 -74.5 -1.5
glow/4ee3 -38 -2
glow/3092 3 -0.5
glow/5909 36 -1.5
glow/3048 76 -0.5
glow/308b 115 1
glow/60c5 -170.75 -2
glow/3051 -129.75 -0.5
glow/306a -92.75 -1
glow/3044 -55.25 4
glow/5f8c -19.75 -2
glow/6094 16.75 -2
glow/3088 60.25 0.5
glow/308a 100.75 -0.5
glow/3082 135.25 -1
glow/524d -75 -1.5
glow/3092 -34.5 -0.5
glow/898b -0.5 -1
glow/308d 40 1
glow/547d -150.5 -2
glow/3042 -111 -1
glow/3089 -69.5 -0.5
glow/3070 -36 -1.5
glow/53ef -1.5 -1.5
glow/80fd 37.5 -2
glow/6027 73 -2
glow/306f 114 0.5
glow/7121 -132.75 -2
glow/9650 -93.25 -1
glow/306a -55.25 -1
glow/306e -17.25 4.5
glow/3060 20.25 0
glow/304b 56.25 0
glow/3089 99.25 -0.5
glow/5439 -131.25 -2
glow/304d -90.25 -0.5
glow/629c -57.75 -2
glow/3051 -17.25 -0.5
glow/308b 21.25 1
