5e7d -194.25 0
9589 -166.25 1
30ab -139.25 1.5
30bf -111.25 2.5
30eb -86.75 3.5
30b7 -57.75 3.5
30b9 -32.25 4.5
0026 -6.75 3
5c11 7.25 0
5973 34.25 0
30d5 63.75 4.5
30e9 90.75 3
30af 118.25 2.5
30bf 145.25 2.5
30eb 169.75 3.5
004c -108 3
0079 -94.5 9.5
0072 -80.5 9
0069 -65 3
0063 -54 9.5
0073 -39.5 9.5
003a -23 8
304b 1.5 1.5
307e 30 1
305b 55 2
864e 81.5 0.5
0043 -141.75 3
006f -128.25 9.5
006d -114.75 9
0070 -101.25 9
006f -87.75 9.5
0073 -73.25 9.5
0069 -58.25 3
0074 -46.75 5
0069 -31.25 3
006f -20.25 9.5
006e -6.75 9
003a 10.75 8
304b 35.25 1.5
307e 63.75 1
305b 88.75 2
864e 115.25 0.5
0041 -155.25 3
0072 -141.25 9
0072 -127.75 9
0061 -114.75 9.5
006e -101.25 9
0067 -87.75 8
0065 -74.25 9.5
006d -60.75 9
0065 -47.25 9.5
006e -33.75 9
0074 -19.75 5
003a -2.75 8
5965 20.75 0.5
5c71 50.25 0
30ca 75.75 2
30de 102.75 5.5
30ea 134.25 2
0056 -87.75 3
006f -74.25 9.5
0063 -60.75 9.5
0061 -47.25 9.5
006c -30.75 2
0073 -19.25 9.5
003a -2.75 8
0073 21.25 9.5
0065 33.75 9.5
006e 47.25 9
0079 60.75 9.5
0061 74.25 9.5
